Date;mm/day corrected
10.01.10;3.1
11.01.10;0.9
12.01.10;0.0
13.01.10;0.0
14.01.10;0.0
15.01.10;0.0
16.01.10;0.0
17.01.10;0.0
18.01.10;0.0
19.01.10;0.0
20.01.10;0.0
21.01.10;0.0
22.01.10;0.0
23.01.10;0.0
24.01.10;0.0
25.01.10;0.0
26.01.10;0.0
27.01.10;0.0
28.01.10;0.0
29.01.10;0.0
30.01.10;0.0
31.01.10;0.0
01.02.10;0.0
02.02.10;0.0
03.02.10;0.0
04.02.10;0.0
05.02.10;0.0
06.02.10;0.0
07.02.10;0.0
08.02.10;0.0
09.02.10;0.0
10.02.10;0.0
11.02.10;0.0
12.02.10;0.0
13.02.10;0.0
14.02.10;0.0
15.02.10;0.0
16.02.10;0.0
17.02.10;0.0
18.02.10;1.6
19.02.10;0.0
20.02.10;0.0
21.02.10;0.0
22.02.10;0.0
23.02.10;0.0
24.02.10;0.0
25.02.10;1.3
26.02.10;0.0
27.02.10;0.0
28.02.10;0.0
01.03.10;0.0
02.03.10;0.0
03.03.10;0.0
04.03.10;47.8
05.03.10;61.1
06.03.10;131.3
07.03.10;42.4
08.03.10;0.0
09.03.10;0.0
10.03.10;0.0
11.03.10;0.0
12.03.10;0.0
13.03.10;0.0
14.03.10;0.0
15.03.10;0.0
16.03.10;0.0
17.03.10;0.0
18.03.10;0.0
19.03.10;0.0
20.03.10;0.0
21.03.10;0.0
22.03.10;0.0
23.03.10;15.5
24.03.10;61.9
25.03.10;178.1
26.03.10;6.8
27.03.10;28.4
28.03.10;82.9
29.03.10;48.7
30.03.10;34.1
31.03.10;28.4
01.04.10;219.5
02.04.10;70.3
03.04.10;81.5
04.04.10;282.6
05.04.10;41.5
06.04.10;57.8
07.04.10;40.4
08.04.10;0.0
09.04.10;0.0
10.04.10;24.7
11.04.10;28.2
12.04.10;74.6
13.04.10;45.4
14.04.10;42.2
15.04.10;0.6
16.04.10;0.7
17.04.10;0.4
18.04.10;101.5
19.04.10;49.2
20.04.10;167.2
21.04.10;104.9
22.04.10;140.3
23.04.10;54.0
24.04.10;88.9
25.04.10;90.6
26.04.10;42.0
27.04.10;111.1
28.04.10;19.3
29.04.10;9.3
30.04.10;29.3
01.05.10;22.5
02.05.10;6.4
03.05.10;17.7
