%distance of dates	%age yr (U/Th)	%age normalized to (yr bp 1950)	%error (yr)
4.2	158	100	5
13.2	378	317	4
32.4	630	572	5
39.9	774	717	6
44.1	936	875	6
55.6	1020	962	4
67.6	1185	1127	6
77.2	1653	1592	6
81.1	1672	1614	7
113.2	2105	2048	9
142.2	2418	2361	7
157.9	2597	2540	10
182.6	2937	2880	17
208.3	3214	3157	16
234.5	3447	3390	9
276.0	3997	3940	10
290.4	4128	4071	10
328.4	4337	4280	9
356.4	4973	4916	15
371.5	5263	5206	9
391.5	5352	5295	10
409.3	5547	5490	10
433.9	5831	5774	9
454.7	6179	6122	19
481.6	6846	6789	16
498.5	7214	7157	22
521.3	8108	8051	18
536.3	8660	8603	24
561.1	9071	9014	24
589.8	9471	9414	74
631.2	10902	10845	20
15.6	461	404	7
73.5	1446	1389	10
248.3	3639	3582	8
342.3	4707	4650	11
609.4	10464	10407	27
		
