%DISTANCES (mm from top)	%sample	%d13C?	%original d18O?
0.05	1.00	1.35	-4.62
0.30	1.00	2.38	-4.38
0.62	1.00	3.36	-4.38
0.83	1.00	3.62	-4.32
1.09	1.00	3.21	-4.30
1.62	1.00	3.09	-4.42
1.82	1.00	2.93	-4.38
2.01	1.00	2.90	-4.34
2.21	1.00	2.98	-4.30
2.35	1.00	2.75	-4.35
2.64	1.00	3.36	-4.34
2.81	1.00	3.58	-4.29
3.16	1.00	3.25	-4.31
3.37	1.00	3.10	-4.36
3.62	1.00	3.06	-4.51
3.89	1.00	3.37	-4.47
4.13	1.00	4.20	-4.21
4.43	1.00	4.23	-4.29
4.52	1.00	3.65	-4.32
4.64	1.00	3.63	-4.18
4.85	1.00	NaN	NaN
4.94	1.00	3.12	-4.61
5.08	1.00	3.17	-4.57
5.39	1.00	3.19	-4.68
5.66	1.00	3.11	-4.73
5.83	1.00	3.15	-4.56
5.94	1.00	3.11	-4.61
6.16	1.00	NaN	NaN
6.23	1.00	3.25	-4.74
6.32	1.00	3.28	-4.76
6.42	1.00	3.39	-4.65
6.51	1.00	3.16	-4.62
6.54	1.00	3.26	-4.76
6.62	1.00	3.21	-4.70
6.75	1.00	3.28	-4.74
6.84	1.00	3.17	-4.66
6.95	1.00	3.30	-4.69
7.17	1.00	3.30	-4.61
7.29	1.00	3.30	-4.48
7.51	1.00	3.13	-4.94
7.65	1.00	3.07	-4.87
7.77	1.00	3.15	-4.93
7.99	1.00	3.36	-4.87
8.22	1.00	3.30	-4.69
8.44	1.00	3.20	-4.84
8.65	1.00	3.17	-4.65
8.84	1.00	3.23	-4.56
9.01	1.00	3.23	-4.81
9.28	1.00	3.38	-4.75
9.54	1.00	3.74	-4.57
9.67	1.00	3.63	-4.74
9.88	1.00	3.42	-4.67
10.04	1.00	3.53	-4.64
10.32	1.00	3.66	-4.71
10.56	1.00	3.60	-4.73
10.88	1.00	3.68	-4.67
10.96	1.00	3.99	-4.57
11.21	1.00	4.58	-4.44
11.39	1.00	4.83	-4.54
11.53	1.00	4.71	-4.32
11.67	1.00	3.92	-4.54
11.80	1.00	3.93	-4.52
12.25	1.00	3.57	-4.67
12.40	1.00	4.63	-4.53
12.69	1.00	5.26	-4.72
12.81	1.00	5.88	-4.49
12.96	1.00	6.42	-4.40
13.14	1.00	6.72	-4.33
13.30	1.00	6.62	-4.23
13.40	1.00	6.64	-4.25
13.58	1.00	6.59	-4.38
13.86	1.00	6.49	-4.32
14.43	1.00	6.34	-4.34
