%date;mean temp;max temp;min temp;boden min temp;precip;rH;press;cloud;strahl
691406;  -15.20;  -12.60;  -17.80;    0.00;    0.00;   80.00; 1009.80;    1.40;    0.00
691407;  -11.20;   -6.90;  -15.80;    0.00;    0.00;   79.00; 1004.10;    1.40;    0.00
691408;   -5.50;   -3.80;  -12.80;    0.00;    0.60;   84.00;  995.70;    7.40;    0.00
691409;   -4.60;   -3.00;   -8.00;    0.00;    0.10;   88.00;  995.20;    8.00;    0.00
691410;  -11.50;   -4.00;  -15.30;    0.00;    0.00;   84.00; 1003.90;    2.60;    0.00
691411;  -12.60;  -10.70;  -18.30;    0.00;    0.00;   86.00; 1006.80;    4.60;    0.00
691412;   -8.10;   -5.90;  -12.00;    0.00;    6.20;   93.00;  995.20;    7.80;    0.00
691413;  -11.00;   -3.40;  -15.70;    0.00;    0.70;   90.00;  989.10;    5.40;    0.00
691414;  -14.60;  -11.70;  -19.50;    0.00;    0.30;   88.00; 1005.70;    6.60;    0.00
691415;  -11.10;   -7.50;  -16.40;    0.00;    5.10;   91.00; 1000.80;    8.00;    0.00
691416;  -17.50;   -7.70;  -21.80;    0.00;    0.10;   85.00; 1002.60;    4.00;    0.00
691417;  -19.20;  -15.10;  -24.30;    0.00;    0.10;   84.00; 1014.60;    4.60;    0.00
691418;  -18.40;  -16.00;  -25.70;    0.00;    0.00;   83.00; 1021.10;    1.00;    0.00
691419;   -7.80;   -3.60;  -18.80;    0.00;    2.60;   84.00; 1008.70;    5.40;    0.00
691420;   -4.00;   -0.90;   -5.70;    0.00;    0.40;   83.00;  996.60;    4.60;    0.00
691421;   -7.20;   -5.00;   -9.20;    0.00;    0.00;   86.00; 1000.80;    7.20;    0.00
691422;  -10.40;   -5.40;  -14.70;    0.00;    0.00;   84.00; 1000.90;    2.20;    0.00
691423;   -3.40;    1.20;  -16.90;    0.00;    4.00;   94.00; 1001.90;    7.20;    0.00
691424;    2.10;    2.50;    1.10;    0.00;    0.70;   92.00; 1002.00;    7.20;    0.00
691425;   -0.60;    2.20;   -2.40;    0.00;    0.00;   89.00; 1007.00;    4.80;    0.00
691426;    0.00;    2.30;   -6.30;    0.00;    0.00;   80.00; 1007.30;    6.40;    0.00
691427;   -2.70;    1.30;   -5.00;    0.00;    0.00;   81.00; 1008.70;    2.60;    0.00
